CMDLINE C:\Users\JPMR0\AppData\Local\Programs\Python\Python37-32\python.exe memory_MDA.py
MEM 0.582031 1589729614.9173
MEM 9.562500 1589729615.0173
MEM 14.613281 1589729615.1181
MEM 17.617188 1589729615.2188
MEM 23.503906 1589729615.3195
MEM 27.371094 1589729615.4203
MEM 30.496094 1589729615.5210
MEM 33.210938 1589729615.6217
MEM 36.714844 1589729615.7225
MEM 40.878906 1589729615.8233
MEM 40.878906 1589729615.9241
MEM 40.878906 1589729616.0250
MEM 40.878906 1589729616.1253
MEM 40.878906 1589729616.2260
MEM 40.878906 1589729616.3269
MEM 40.878906 1589729616.4277
MEM 40.878906 1589729616.5279
MEM 40.878906 1589729616.6288
MEM 40.878906 1589729616.7298
MEM 40.878906 1589729616.8305
MEM 40.878906 1589729616.9311
MEM 40.878906 1589729617.0315
MEM 40.878906 1589729617.1323
MEM 40.878906 1589729617.2332
MEM 40.878906 1589729617.3333
MEM 40.878906 1589729617.4340
MEM 40.878906 1589729617.5342
MEM 40.878906 1589729617.6425
MEM 40.878906 1589729617.7432
MEM 40.878906 1589729617.8440
MEM 40.878906 1589729617.9447
MEM 40.878906 1589729618.0452
MEM 40.878906 1589729618.1461
MEM 40.878906 1589729618.2463
MEM 40.878906 1589729618.3469
MEM 40.878906 1589729618.4473
MEM 40.878906 1589729618.5483
MEM 40.878906 1589729618.6487
MEM 40.878906 1589729618.7490
MEM 41.128906 1589729618.8497
MEM 41.378906 1589729618.9504
MEM 41.691406 1589729619.0511
MEM 41.941406 1589729619.1519
MEM 42.191406 1589729619.2526
MEM 42.441406 1589729619.3533
MEM 42.691406 1589729619.4542
MEM 42.941406 1589729619.5546
MEM 43.191406 1589729619.6553
MEM 43.441406 1589729619.7560
MEM 43.691406 1589729619.8568
MEM 43.941406 1589729619.9575
MEM 44.191406 1589729620.0582
MEM 44.453125 1589729620.1589
MEM 44.695312 1589729620.2597
MEM 44.957031 1589729620.3604
MEM 45.195312 1589729620.4611
MEM 45.441406 1589729620.5619
MEM 45.691406 1589729620.6626
MEM 45.941406 1589729620.7633
MEM 46.191406 1589729620.8640
MEM 46.441406 1589729620.9648
MEM 46.691406 1589729621.0655
MEM 46.941406 1589729621.1662
MEM 47.191406 1589729621.2669
MEM 47.378906 1589729621.3677
MEM 47.566406 1589729621.4684
MEM 47.816406 1589729621.5691
MEM 48.066406 1589729621.6699
MEM 48.316406 1589729621.7706
MEM 48.566406 1589729621.8714
MEM 48.816406 1589729621.9721
MEM 49.128906 1589729622.0728
MEM 49.378906 1589729622.1736
MEM 49.628906 1589729622.2743
MEM 49.878906 1589729622.3750
MEM 50.128906 1589729622.4757
MEM 50.378906 1589729622.5764
MEM 50.628906 1589729622.6772
MEM 50.855469 1589729622.7779
MEM 51.128906 1589729622.8786
MEM 51.378906 1589729622.9794
MEM 51.566406 1589729623.0801
MEM 51.816406 1589729623.1808
MEM 52.066406 1589729623.2816
MEM 52.316406 1589729623.3823
MEM 52.566406 1589729623.4825
MEM 52.753906 1589729623.5833
MEM 52.992188 1589729623.6840
MEM 53.226562 1589729623.7848
MEM 53.441406 1589729623.8855
MEM 53.628906 1589729623.9863
MEM 53.878906 1589729624.0870
MEM 54.128906 1589729624.1877
MEM 54.378906 1589729624.2884
