CMDLINE C:\Users\JPMR0\AppData\Local\Programs\Python\Python37-32\python.exe memory_sparse_table.py
MEM 0.582031 1589777207.1653
MEM 9.570312 1589777207.2661
MEM 14.207031 1589777207.3668
MEM 16.496094 1589777207.4675
MEM 21.089844 1589777207.5682
MEM 24.777344 1589777207.6685
MEM 27.761719 1589777207.7685
MEM 30.734375 1589777207.8693
MEM 32.929688 1589777207.9700
MEM 36.480469 1589777208.0707
MEM 38.777344 1589777208.1714
MEM 45.890625 1589777208.2722
MEM 53.656250 1589777208.3729
MEM 60.316406 1589777208.4736
MEM 68.089844 1589777208.5744
MEM 72.125000 1589777208.6751
MEM 78.578125 1589777208.7758
MEM 86.230469 1589777208.8766
MEM 94.117188 1589777208.9773
MEM 100.070312 1589777209.0780
MEM 104.289062 1589777209.1781
MEM 111.015625 1589777209.2788
MEM 117.656250 1589777209.3796
MEM 125.257812 1589777209.4799
MEM 129.382812 1589777209.5805
MEM 136.843750 1589777209.6807
MEM 143.339844 1589777209.7809
MEM 149.972656 1589777209.8812
MEM 156.992188 1589777209.9814
MEM 160.964844 1589777210.0822
MEM 167.691406 1589777210.1829
MEM 174.382812 1589777210.2839
MEM 180.250000 1589777210.3846
MEM 187.453125 1589777210.4853
MEM 191.125000 1589777210.5861
MEM 199.429688 1589777210.6868
MEM 207.386719 1589777210.7875
MEM 214.175781 1589777210.8883
MEM 218.644531 1589777210.9890
MEM 225.203125 1589777211.0893
MEM 231.468750 1589777211.1897
MEM 239.492188 1589777211.2905
MEM 246.394531 1589777211.3907
MEM 249.933594 1589777211.4914
MEM 256.496094 1589777211.5917
MEM 264.222656 1589777211.6924
MEM 272.144531 1589777211.7931
MEM 276.277344 1589777211.8949
MEM 282.292969 1589777211.9956
MEM 289.117188 1589777212.0963
MEM 296.203125 1589777212.1971
MEM 302.957031 1589777212.2978
MEM 307.101562 1589777212.3985
MEM 313.496094 1589777212.4993
MEM 319.710938 1589777212.5995
MEM 326.359375 1589777212.7004
MEM 333.511719 1589777212.8011
MEM 337.648438 1589777212.9016
MEM 345.046875 1589777213.0023
MEM 351.621094 1589777213.1030
MEM 358.496094 1589777213.2037
MEM 364.242188 1589777213.3040
MEM 369.253906 1589777213.4047
MEM 375.726562 1589777213.5055
MEM 383.500000 1589777213.6062
MEM 391.851562 1589777213.7069
MEM 395.867188 1589777213.8076
MEM 403.718750 1589777213.9084
MEM 409.906250 1589777214.0091
MEM 416.691406 1589777214.1098
MEM 422.789062 1589777214.2106
MEM 422.789062 1589777214.3113
MEM 422.789062 1589777214.4120
MEM 422.789062 1589777214.5128
MEM 422.789062 1589777214.6135
MEM 422.789062 1589777214.7144
MEM 429.101562 1589777214.8147
MEM 436.054688 1589777214.9147
MEM 442.175781 1589777215.0150
MEM 448.402344 1589777215.1157
MEM 452.492188 1589777215.2159
MEM 458.113281 1589777215.3167
MEM 458.113281 1589777215.4174
MEM 458.117188 1589777215.5181
MEM 458.117188 1589777215.6189
MEM 458.117188 1589777215.7196
MEM 458.117188 1589777215.8203
MEM 458.117188 1589777215.9211
MEM 458.117188 1589777216.0213
MEM 458.117188 1589777216.1216
MEM 458.117188 1589777216.2223
MEM 458.117188 1589777216.3227
MEM 458.117188 1589777216.4234
MEM 458.531250 1589777216.5241
MEM 459.449219 1589777216.6245
MEM 460.066406 1589777216.7247
MEM 467.011719 1589777216.8256
MEM 473.222656 1589777216.9258
MEM 480.574219 1589777217.0266
MEM 488.246094 1589777217.1273
MEM 495.273438 1589777217.2280
MEM 502.234375 1589777217.3288
MEM 508.812500 1589777217.4295
MEM 515.734375 1589777217.5302
MEM 523.117188 1589777217.6309
MEM 530.472656 1589777217.7317
MEM 537.046875 1589777217.8324
MEM 544.367188 1589777217.9331
MEM 550.972656 1589777218.0339
MEM 556.757812 1589777218.1346
MEM 564.511719 1589777218.2353
MEM 571.136719 1589777218.3359
MEM 577.339844 1589777218.4369
MEM 583.140625 1589777218.5371
MEM 589.332031 1589777218.6379
MEM 597.066406 1589777218.7382
MEM 604.417969 1589777218.8389
MEM 610.605469 1589777218.9396
MEM 616.796875 1589777219.0404
MEM 623.757812 1589777219.1411
MEM 630.316406 1589777219.2418
MEM 637.625000 1589777219.3426
MEM 644.261719 1589777219.4433
MEM 650.871094 1589777219.5436
MEM 658.570312 1589777219.6443
MEM 666.695312 1589777219.7450
MEM 674.429688 1589777219.8453
MEM 675.976562 1589777219.9455
MEM 675.976562 1589777220.0463
MEM 675.976562 1589777220.1470
MEM 678.285156 1589777220.2478
MEM 684.839844 1589777220.3485
MEM 690.679688 1589777220.4487
MEM 697.218750 1589777220.5489
MEM 704.085938 1589777220.6491
MEM 710.777344 1589777220.7498
MEM 718.484375 1589777220.8506
MEM 722.781250 1589777220.9513
MEM 727.019531 1589777221.0520
MEM 734.000000 1589777221.1528
MEM 740.578125 1589777221.2535
MEM 745.960938 1589777221.3542
MEM 752.179688 1589777221.4549
MEM 758.734375 1589777221.5552
MEM 765.332031 1589777221.6554
MEM 773.050781 1589777221.7562
MEM 780.031250 1589777221.8569
MEM 786.957031 1589777221.9576
MEM 792.378906 1589777222.0584
MEM 800.144531 1589777222.1586
MEM 807.851562 1589777222.2586
MEM 815.230469 1589777222.3594
MEM 822.582031 1589777222.4601
MEM 828.769531 1589777222.5608
MEM 834.941406 1589777222.6616
MEM 842.695312 1589777222.7623
MEM 848.886719 1589777222.8630
MEM 854.742188 1589777222.9638
MEM 858.121094 1589777223.0645
MEM 863.191406 1589777223.1647
MEM 870.511719 1589777223.2655
MEM 877.484375 1589777223.3662
MEM 882.578125 1589777223.4669
MEM 888.789062 1589777223.5677
MEM 895.347656 1589777223.6686
MEM 902.328125 1589777223.7688
MEM 909.285156 1589777223.8690
MEM 916.605469 1589777223.9709
MEM 924.375000 1589777224.0717
MEM 930.953125 1589777224.1724
MEM 938.304688 1589777224.2731
MEM 944.105469 1589777224.3739
MEM 946.781250 1589777224.4746
MEM 946.781250 1589777224.5753
MEM 946.781250 1589777224.6761
MEM 946.781250 1589777224.7768
MEM 949.093750 1589777224.8775
MEM 955.703125 1589777224.9783
MEM 963.832031 1589777225.0786
MEM 970.792969 1589777225.1794
MEM 978.113281 1589777225.2801
MEM 984.722656 1589777225.3808
MEM 992.042969 1589777225.4811
MEM 999.804688 1589777225.5818
MEM 1005.996094 1589777225.6825
MEM 1011.796875 1589777225.7833
MEM 1018.785156 1589777225.8840
MEM 1025.746094 1589777225.9847
MEM 1033.089844 1589777226.0855
MEM 1039.789062 1589777226.1862
MEM 1045.085938 1589777226.2869
MEM 1051.261719 1589777226.3872
MEM 1059.011719 1589777226.4874
MEM 1065.589844 1589777226.5876
MEM 1071.351562 1589777226.6884
MEM 1076.492188 1589777226.7891
MEM 1081.449219 1589777226.8898
MEM 1088.757812 1589777226.9905
MEM 1095.753906 1589777227.0906
MEM 1102.300781 1589777227.1912
MEM 1108.914062 1589777227.2919
MEM 1114.691406 1589777227.3922
MEM 1122.785156 1589777227.4929
MEM 1130.164062 1589777227.5938
MEM 1135.988281 1589777227.6946
MEM 1142.953125 1589777227.7953
MEM 1148.718750 1589777227.8970
MEM 1154.945312 1589777227.9978
MEM 1161.519531 1589777228.0985
MEM 1168.480469 1589777228.1992
MEM 1175.812500 1589777228.3000
MEM 1182.406250 1589777228.4007
MEM 1189.371094 1589777228.5013
MEM 1196.679688 1589777228.6015
MEM 1204.062500 1589777228.7023
MEM 1211.765625 1589777228.8030
MEM 1217.605469 1589777228.9037
MEM 1217.605469 1589777229.0045
MEM 1217.605469 1589777229.1047
MEM 1217.605469 1589777229.2049
MEM 1217.605469 1589777229.3050
MEM 1224.156250 1589777229.4050
MEM 1231.093750 1589777229.5058
MEM 1238.109375 1589777229.6065
MEM 1245.070312 1589777229.7072
MEM 1251.609375 1589777229.8079
MEM 1257.835938 1589777229.9087
MEM 1265.566406 1589777230.0094
MEM 1272.230469 1589777230.1101
MEM 1278.726562 1589777230.2109
MEM 1286.046875 1589777230.3116
MEM 1293.421875 1589777230.4123
MEM 1300.339844 1589777230.5131
MEM 1305.375000 1589777230.6138
MEM 1311.949219 1589777230.7145
MEM 1317.406250 1589777230.8148
MEM 1323.593750 1589777230.9148
MEM 1331.750000 1589777231.0151
MEM 1339.066406 1589777231.1158
MEM 1346.417969 1589777231.2166
MEM 1352.992188 1589777231.3173
MEM 1359.183594 1589777231.4180
MEM 1366.144531 1589777231.5187
MEM 1372.718750 1589777231.6195
MEM 1379.296875 1589777231.7202
MEM 1386.589844 1589777231.8206
MEM 1393.199219 1589777231.9213
MEM 1399.796875 1589777232.0215
MEM 1406.746094 1589777232.1223
MEM 1412.949219 1589777232.2226
MEM 1419.906250 1589777232.3234
MEM 1426.101562 1589777232.4241
MEM 1432.675781 1589777232.5248
MEM 1439.253906 1589777232.6250
MEM 1445.785156 1589777232.7258
MEM 1452.019531 1589777232.8265
MEM 1459.714844 1589777232.9272
MEM 1466.714844 1589777233.0280
MEM 1474.035156 1589777233.1287
MEM 1481.039062 1589777233.2294
MEM 1488.003906 1589777233.3302
MEM 1488.359375 1589777233.4309
MEM 1488.359375 1589777233.5316
MEM 1488.359375 1589777233.6324
MEM 1488.359375 1589777233.7331
MEM 1494.191406 1589777233.8339
MEM 1501.128906 1589777233.9345
MEM 1508.566406 1589777234.0350
MEM 1515.128906 1589777234.1353
MEM 1522.878906 1589777234.2360
MEM 1529.445312 1589777234.3368
MEM 1536.417969 1589777234.4375
MEM 1543.761719 1589777234.5383
MEM 1549.957031 1589777234.6389
MEM 1555.371094 1589777234.7397
MEM 1559.621094 1589777234.8458
MEM 1564.628906 1589777234.9471
MEM 1570.839844 1589777235.0478
MEM 1577.019531 1589777235.1485
MEM 1582.414062 1589777235.2493
MEM 1587.476562 1589777235.3500
MEM 1592.878906 1589777235.4503
MEM 1597.886719 1589777235.5507
MEM 1603.335938 1589777235.6514
MEM 1608.367188 1589777235.7521
MEM 1614.531250 1589777235.8539
MEM 1619.984375 1589777235.9546
MEM 1626.175781 1589777236.0553
MEM 1632.363281 1589777236.1560
MEM 1638.136719 1589777236.2568
MEM 1643.933594 1589777236.3575
MEM 1648.996094 1589777236.4582
MEM 1654.398438 1589777236.5585
MEM 1660.601562 1589777236.6592
MEM 1666.019531 1589777236.7599
MEM 1671.027344 1589777236.8607
MEM 1676.421875 1589777236.9609
MEM 1681.488281 1589777237.0617
MEM 1688.042969 1589777237.1624
MEM 1693.531250 1589777237.2630
MEM 1698.554688 1589777237.3637
MEM 1704.339844 1589777237.4645
MEM 1708.578125 1589777237.5657
MEM 1713.593750 1589777237.6665
MEM 1719.011719 1589777237.7672
MEM 1724.386719 1589777237.8679
MEM 1729.398438 1589777237.9687
MEM 1735.601562 1589777238.1133
MEM 1738.308594 1589777238.2150
MEM 1743.343750 1589777238.3155
MEM 1748.371094 1589777238.4167
MEM 1752.632812 1589777238.5174
MEM 1756.886719 1589777238.6181
MEM 1759.203125 1589777238.7188
MEM 1759.203125 1589777238.8196
MEM 1759.203125 1589777238.9203
MEM 1759.203125 1589777239.0210
MEM 1759.203125 1589777239.1218
MEM 1761.921875 1589777239.2225
MEM 1768.136719 1589777239.3232
MEM 1771.277344 1589777239.4240
MEM 1585.871094 1589777239.5247
MEM 1446.375000 1589777239.6254
MEM 1294.546875 1589777239.7261
MEM 1147.339844 1589777239.8264
MEM 1000.910156 1589777239.9271
MEM 866.035156 1589777240.0279
MEM 717.289062 1589777240.1286
MEM 573.167969 1589777240.2293
MEM 461.003906 1589777240.3301
MEM 461.003906 1589777240.4307
MEM 461.003906 1589777240.5314
MEM 461.003906 1589777240.6322
MEM 461.003906 1589777240.7329
MEM 461.003906 1589777240.8336
MEM 461.003906 1589777240.9344
MEM 447.289062 1589777241.0361
MEM 316.933594 1589777241.1368
MEM 187.625000 1589777241.2375
MEM 54.300781 1589777241.3383
MEM 1.238281 1589777241.4515
