CMDLINE C:\Users\JPMR0\AppData\Local\Programs\Python\Python37-32\python.exe memory_trie.py
MEM 0.617188 1589674995.0884
MEM 10.289062 1589674995.1901
MEM 15.695312 1589674995.2908
MEM 20.574219 1589674995.3916
MEM 25.660156 1589674995.4923
MEM 29.148438 1589674995.5930
MEM 32.093750 1589674995.6937
MEM 34.609375 1589674995.7941
MEM 37.847656 1589674995.8942
MEM 37.914062 1589674995.9943
MEM 37.914062 1589674996.0946
MEM 37.914062 1589674996.1949
MEM 37.914062 1589674996.2957
MEM 37.914062 1589674996.3965
MEM 38.253906 1589674996.4966
MEM 38.253906 1589674996.5975
MEM 38.253906 1589674996.6981
MEM 38.253906 1589674996.7989
MEM 38.253906 1589674996.8993
MEM 38.253906 1589674997.0003
MEM 38.253906 1589674997.1008
MEM 38.253906 1589674997.2008
MEM 38.253906 1589674997.3014
MEM 38.253906 1589674997.4023
MEM 38.253906 1589674997.5027
MEM 38.253906 1589674997.6035
MEM 38.253906 1589674997.7046
MEM 38.253906 1589674997.8056
MEM 38.253906 1589674997.9057
